County,X,Y,Pop_2024,DWI_Num,DWI_Crash,DWI_Tot,DWI_Rate,DWI_Num_Rt,DWI_Cr_Rt
Aitkin,46.601856,-93.470244,16102,86,17,103,0.63967209,0.534095143,0.105576947
Anoka,45.199715,-93.278805,372441,1490,147,1637,0.439532705,0.400063366,0.039469339
Becker,46.893153,-95.742689,35283,280,19,299,0.847433608,0.793583312,0.053850296
Beltrami,47.720834,-94.837122,46718,501,13,514,1.100218331,1.072391798,0.027826534
Benton,45.650815,-94.070904,41600,203,29,232,0.557692308,0.487980769,0.069711538
Big Stone,45.410116,-96.409613,5105,27,2,29,0.568070519,0.528893242,0.039177277
Blue Earth,44.088378,-94.037045,70006,450,41,491,0.701368454,0.642802046,0.058566409
Brown,44.255312,-94.69621,25628,78,15,93,0.362884345,0.304354612,0.058529733
Carlton,46.627815,-92.602262,36825,319,17,336,0.912423625,0.866259335,0.046164291
Carver,44.835379,-93.749632,111057,272,55,327,0.294443394,0.244919276,0.049524118
Cass,46.897206,-94.373472,31446,144,23,167,0.531069134,0.457927876,0.073141258
Chippewa,44.999546,-95.604516,12172,39,3,42,0.345054223,0.320407493,0.02464673
Chisago,45.475985,-92.911913,58535,232,32,264,0.451012215,0.396344068,0.054668147
Clay,46.869254,-96.568459,66258,254,19,273,0.412025718,0.383349935,0.028675783
Clearwater,47.534853,-95.381619,8644,122,6,128,1.480795928,1.411383619,0.069412309
Cook,47.856408,-90.49789,5639,17,3,20,0.354672814,0.301471892,0.053200922
Cottonwood,43.990742,-95.170319,11319,57,1,58,0.512412757,0.503578055,0.008834703
Crow Wing,46.477169,-94.108446,68304,616,44,660,0.966268447,0.90185055,0.064417896
Dakota,44.7588,-93.120132,447440,1436,179,1615,0.360942249,0.320936885,0.040005364
Dodge,44.028165,-92.836351,21088,60,8,68,0.32245827,0.284522003,0.037936267
Douglas,45.916902,-95.438585,39953,335,20,355,0.888544039,0.83848522,0.050058819
Faribault,43.666389,-93.952469,13873,56,10,66,0.475744251,0.403661789,0.072082462
Fillmore,43.680907,-92.083826,21522,59,11,70,0.325248583,0.274138091,0.051110492
Freeborn,43.666177,-93.35473,30515,160,30,190,0.622644601,0.524332296,0.098312305
Goodhue,44.414581,-92.69681,48035,235,15,250,0.520453836,0.489226606,0.03122723
Grant,45.943961,-95.993381,6139,15,5,20,0.325785959,0.244339469,0.08144649
Hennepin,44.971331,-93.362357,1258713,5355,599,5954,0.473022842,0.425434551,0.047588291
Houston,43.708892,-91.474135,18582,72,10,82,0.441287267,0.387471747,0.05381552
Hubbard,47.051365,-94.905303,22132,188,14,202,0.912705585,0.849448762,0.063256823
Isanti,45.554945,-93.273123,43182,158,23,181,0.41915613,0.365893196,0.053262934
Itasca,47.431706,-93.570057,45365,327,32,359,0.791358977,0.720820015,0.070538962
Jackson,43.681503,-95.14965,9919,47,10,57,0.574654703,0.473838089,0.100816615
Kanabec,45.886975,-93.294518,16602,59,6,65,0.391519094,0.35537887,0.036140224
Kandiyohi,45.156823,-95.017337,43813,175,28,203,0.463332801,0.399424828,0.063907973
Kittson,48.764077,-96.854114,4060,15,3,18,0.443349754,0.369458128,0.073891626
Koochiching,48.374678,-93.66063,11751,48,6,54,0.459535359,0.408475874,0.051059484
Lac Qui Parle,44.995009,-96.160391,6630,21,1,22,0.331825038,0.316742081,0.015082956
Lake,47.500149,-91.469111,10855,31,7,38,0.350069093,0.285582681,0.064486412
Lake of the Woods,48.703552,-94.832107,3778,13,2,15,0.397035469,0.344097406,0.052938062
Le Sueur,44.360984,-93.747137,29255,98,18,116,0.396513417,0.334985473,0.061527944
Lincoln,44.408243,-96.271957,5521,12,5,17,0.307915233,0.217351929,0.090563304
Lyon,44.41238,-95.825676,25427,107,15,122,0.479804932,0.420812522,0.05899241
Mahnomen,47.319794,-95.819296,5280,185,4,189,3.579545455,3.503787879,0.075757576
Marshall,48.325872,-96.477565,8810,26,4,30,0.340522134,0.295119183,0.045402951
Martin,43.676952,-94.537076,19657,58,15,73,0.371368978,0.295060284,0.076308694
Mcleod,44.83406,-94.263731,36785,227,19,246,0.66875085,0.617099361,0.051651488
Meeker,45.129192,-94.507823,23490,75,9,84,0.357598978,0.319284802,0.038314176
Mille Lacs,45.857835,-93.636826,27427,221,20,241,0.878696175,0.805775331,0.072920844
Morrison,46.011103,-94.345654,34250,152,24,176,0.513868613,0.44379562,0.070072993
Mower,43.659303,-92.838981,40058,350,22,372,0.928653452,0.873733087,0.054920365
Murray,44.00408,-95.737563,8049,22,6,28,0.347869301,0.273325879,0.074543422
Nicollet,44.3196,-94.136248,34242,216,19,235,0.686291689,0.630804275,0.055487413
Nobles,43.6599,-95.723933,21727,217,6,223,1.026372716,0.998757307,0.027615409
Norman,47.314118,-96.531693,6329,49,2,51,0.805814505,0.774213936,0.031600569
Olmsted,44.007477,-92.442548,164784,1095,75,1170,0.71002039,0.664506263,0.045514128
Otter Tail,46.405151,-95.737156,60626,271,44,315,0.519579058,0.447002936,0.072576122
Pennington,48.088115,-96.079368,13714,112,7,119,0.867726411,0.816683681,0.05104273
Pine,46.098412,-92.83483,30197,144,19,163,0.539788721,0.476868563,0.062920158
Pipestone,44.006189,-96.254835,9245,64,3,67,0.724716063,0.69226609,0.032449973
Polk,47.770373,-96.408371,30412,185,13,198,0.651058793,0.608312508,0.042746284
Pope,-96.408371,-95.447319,11400,62,7,69,0.605263158,0.543859649,0.061403509
Ramsey,44.990915,-93.106593,536075,2115,312,2427,0.452735158,0.394534347,0.058200811
Red Lake,47.866703,-96.084145,3911,24,0,24,0.613653797,0.613653797,0
Redwood,44.4111,-95.237056,15288,79,11,90,0.588697017,0.51674516,0.071951858
Renville,44.723882,-94.925286,14348,80,9,89,0.620295512,0.557568999,0.062726512
Rice,44.348087,-93.283024,67948,189,37,226,0.332607288,0.278153882,0.054453406
Rock,43.667243,-96.242131,9551,41,6,47,0.492095069,0.429274422,0.062820647
Roseau,48.782961,-95.778139,15252,93,7,100,0.655651718,0.609756098,0.04589562
St. Louis,47.369145,-92.404547,200514,1010,105,1115,0.556070898,0.503705477,0.052365421
Scott,44.696343,-93.510829,155814,736,63,799,0.512790892,0.472358068,0.040432824
Sherburne,45.423675,-93.768027,102206,389,50,439,0.429524685,0.380603878,0.048920807
Sibley,44.574044,-94.220375,15084,89,6,95,0.629806417,0.59002917,0.039777247
Stearns,45.540863,-94.495886,160977,770,89,859,0.533616604,0.478329202,0.055287401
Steele,44.029614,-93.216018,37421,157,13,170,0.454290372,0.41955052,0.034739852
Stevens,45.579283,-95.981268,9728,38,1,39,0.400904605,0.390625,0.010279605
Swift,45.276989,-95.674223,9719,38,4,42,0.432143225,0.390986727,0.041156498
Todd,46.0824,-94.88336,25667,90,17,107,0.416877703,0.350644797,0.066232906
Traverse,45.766649,-96.500058,3136,11,2,13,0.414540816,0.350765306,0.06377551
Wabasha,44.294912,-92.215112,21683,123,13,136,0.627219481,0.567264677,0.059954803
Wadena,46.543768,-95.003269,14241,55,11,66,0.4634506,0.386208834,0.077241767
Waseca,44.026702,-93.577277,18981,42,6,48,0.252884463,0.221273905,0.031610558
Washington,44.999023,-92.909398,278936,1257,91,1348,0.483264978,0.450641007,0.032623971
Watonwan,43.984607,-94.610969,11077,50,9,59,0.53263519,0.451385754,0.081249436
Wilkin,46.323696,-96.478321,6306,59,4,63,0.999048525,0.935616873,0.063431652
Winona,44.008825,-91.741907,49721,347,12,359,0.722028921,0.69789425,0.024134671
Wright,45.188927,-93.915814,151150,671,61,732,0.484287132,0.443929871,0.040357261
Yellow Medicine,44.715391,-95.826886,9467,28,9,37,0.390831309,0.295764234,0.095067075
